"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 16 10:52:29 GMT 2024","Sun Jun 16 10:52:33 GMT 2024","4859","","ru.romanow.todolist.TodoListTest","","ru.romanow.todolist.TodoListTest","login","login()",""
"passed","Sun Jun 16 10:52:34 GMT 2024","Sun Jun 16 10:52:35 GMT 2024","1599","","ru.romanow.todolist.TodoListTest","","ru.romanow.todolist.TodoListTest","items","items()",""
