"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 03 20:22:40 GMT 2024","Mon Jun 03 20:22:46 GMT 2024","5973","","ru.romanow.todolist.TodoListTest","","ru.romanow.todolist.TodoListTest","login","login()",""
"passed","Mon Jun 03 20:22:47 GMT 2024","Mon Jun 03 20:22:48 GMT 2024","1137","","ru.romanow.todolist.TodoListTest","","ru.romanow.todolist.TodoListTest","items","items()",""
